regprc,ecoprc,hhsize,faminc,age,reglbs
1.19000005722046,1.19000005722046,4,45,43,2.0
0.889999985694885,1.0900000333786,2,55,55,3.0
0.889999985694885,0.889999985694885,5,15,36,4.0
0.589999973773956,0.990000009536743,2,85,71,5.0
0.889999985694885,0.889999985694885,3,45,35,2.0
0.589999973773956,0.990000009536743,3,25,25,3.0
0.889999985694885,1.28999996185303,2,45,66,2.0
1.19000005722046,1.5900000333786,1,25,60,2.0
0.889999985694885,0.889999985694885,1,55,49,2.0
0.589999973773956,0.790000021457672,2,65,62,2.0
0.889999985694885,1.0900000333786,2,105,52,3.0
0.889999985694885,1.0900000333786,3,65,45,1.0
0.589999973773956,0.990000009536743,5,95,52,10.0
1.19000005722046,1.5900000333786,3,45,57,1.0
0.589999973773956,0.990000009536743,8,105,50,1.0
0.589999973773956,0.790000021457672,1,45,46,2.0
0.889999985694885,1.0900000333786,7,15,35,3.0
0.889999985694885,1.0900000333786,3,55,38,2.0
0.889999985694885,0.889999985694885,3,45,62,2.0
1.19000005722046,1.5900000333786,4,65,30,2.0
0.889999985694885,0.889999985694885,1,75,49,1.0
0.589999973773956,0.790000021457672,3,55,30,2.0
0.589999973773956,0.790000021457672,4,85,22,2.0
1.19000005722046,1.5900000333786,1,45,33,1.0
0.589999973773956,0.990000009536743,3,35,26,2.0
0.889999985694885,1.0900000333786,6,25,24,3.0
0.889999985694885,1.28999996185303,3,45,30,1.0
0.889999985694885,1.0900000333786,2,35,80,1.0
1.19000005722046,1.5900000333786,3,55,38,3.0
0.889999985694885,1.28999996185303,1,15,75,2.0
0.889999985694885,1.28999996185303,5,55,39,5.0
0.889999985694885,1.28999996185303,1,15,78,5.0
0.889999985694885,1.0900000333786,2,95,52,1.0
0.589999973773956,0.589999973773956,5,75,41,2.0
0.889999985694885,0.889999985694885,5,65,34,1.0
0.589999973773956,0.990000009536743,5,35,35,6.0
0.889999985694885,0.889999985694885,2,45,22,1.0
0.889999985694885,1.0900000333786,4,75,48,1.0
1.19000005722046,1.5900000333786,5,65,36,3.0
0.589999973773956,0.790000021457672,2,45,40,2.0
1.19000005722046,1.19000005722046,2,45,49,1.0
0.589999973773956,0.790000021457672,2,15,32,1.0
1.19000005722046,1.38999998569489,2,45,51,2.0
1.19000005722046,1.38999998569489,1,25,35,5.0
0.889999985694885,1.0900000333786,2,85,33,3.0
1.19000005722046,1.5900000333786,1,15,67,3.0
0.589999973773956,0.589999973773956,5,35,24,1.0
1.19000005722046,1.5900000333786,8,55,34,3.0
0.589999973773956,0.990000009536743,3,35,60,1.0
1.19000005722046,1.38999998569489,2,45,56,2.0
0.889999985694885,0.889999985694885,7,25,44,1.0
0.589999973773956,0.990000009536743,3,15,25,3.0
0.889999985694885,1.28999996185303,4,45,69,5.0
0.589999973773956,0.790000021457672,4,35,38,21.0
0.889999985694885,1.28999996185303,4,55,35,2.0
0.889999985694885,1.0900000333786,1,85,66,1.0
0.589999973773956,0.990000009536743,1,25,64,3.0
1.19000005722046,1.38999998569489,2,75,30,1.0
0.889999985694885,0.889999985694885,3,35,41,42.0
1.19000005722046,1.5900000333786,3,55,63,3.0
0.589999973773956,0.790000021457672,3,25,53,3.0
0.889999985694885,0.889999985694885,1,25,27,1.0
0.589999973773956,0.589999973773956,5,175,30,42.0
0.589999973773956,0.790000021457672,7,130,50,4.0
0.889999985694885,1.28999996185303,5,105,33,8.0
0.889999985694885,0.889999985694885,3,65,25,1.0
1.19000005722046,1.5900000333786,5,55,27,4.0
0.889999985694885,1.0900000333786,5,75,42,1.0
0.889999985694885,1.0900000333786,4,35,31,1.0
0.589999973773956,0.589999973773956,3,65,23,2.0
0.589999973773956,0.990000009536743,5,35,34,1.0
0.589999973773956,0.990000009536743,4,105,50,2.0
0.589999973773956,0.589999973773956,4,85,52,2.0
0.889999985694885,1.28999996185303,2,65,66,3.0
1.19000005722046,1.38999998569489,4,85,40,2.0
0.589999973773956,0.589999973773956,1,75,56,2.0
1.19000005722046,1.19000005722046,1,35,30,5.0
0.589999973773956,0.790000021457672,1,25,81,2.0
1.19000005722046,1.5900000333786,2,35,28,1.0
1.19000005722046,1.38999998569489,1,5,85,1.0
0.889999985694885,1.0900000333786,3,45,55,2.0
0.589999973773956,0.990000009536743,3,45,44,3.0
0.589999973773956,0.790000021457672,1,35,66,1.0
0.889999985694885,1.28999996185303,2,35,46,2.0
0.889999985694885,1.0900000333786,1,15,34,5.0
0.589999973773956,0.790000021457672,2,25,51,2.0
1.19000005722046,1.38999998569489,4,130,35,1.0
1.19000005722046,1.5900000333786,4,25,21,1.0
1.19000005722046,1.38999998569489,3,45,37,1.0
1.19000005722046,1.38999998569489,1,5,75,1.0
0.589999973773956,0.790000021457672,4,35,49,2.0
1.19000005722046,1.5900000333786,5,35,42,3.0
0.889999985694885,1.28999996185303,6,45,33,2.0
0.589999973773956,0.790000021457672,1,85,51,6.0
0.589999973773956,0.990000009536743,4,105,46,2.0
0.889999985694885,1.28999996185303,4,35,57,3.0
0.589999973773956,0.790000021457672,1,130,31,1.0
1.19000005722046,1.38999998569489,4,35,39,2.0
